Configuration,Run ID,Seed,Metric,Final window requested,N,Mean,Temporal SD,Minimum,Maximum,Median,First step in window,Last step in window,SD interpretation
No joint limit,6gq87ju7,42,Episode_Metrics/body_position_error,100,100,0.08416937008500099,0.0010694398829005894,0.0817406177520752,0.08624633401632309,0.08419167622923851,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Metrics/body_orientation_error,100,100,0.4015554696321487,0.004235682934440237,0.39179831743240356,0.41158318519592285,0.4014796018600464,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Metrics/body_linear_velocity_error,100,100,0.7835284036397934,0.011327114543937505,0.7579576373100281,0.808714747428894,0.7829651236534119,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Metrics/body_angular_velocity_error,100,100,3.602199378013611,0.02682805075393191,3.539227247238159,3.6741960048675537,3.60254967212677,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Metrics/action_rate_l2_raw,100,100,10.728398885726929,0.0462034801136924,10.632416725158691,10.799934387207031,10.729632377624512,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Metrics/joint_limit_raw,100,100,0.2341832421720028,0.00417763679928645,0.22355377674102783,0.2436462640762329,0.2349938228726387,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Metrics/self_collision_raw,100,100,0.0028815605526324364,0.000960514408716139,0.0010093171149492264,0.0069372630678117275,0.0027284533716738224,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Termination/time_out,100,100,2.652916758060455,0.3328624064301425,1.7916667461395264,3.4166667461395264,2.645833373069763,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Termination/anchor_pos,100,100,3.8208334684371947,0.471795007557375,2.7083334922790527,5.208333492279053,3.7916667461395264,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Termination/anchor_ori,100,100,0.000833333358168602,0.005862720763734759,0.0,0.0416666679084301,0.0,900.0,999.0,Temporal SD within one run; not cross-seed SD
No joint limit,6gq87ju7,42,Episode_Termination/ee_body_pos,100,100,14.831250371932983,0.8288680371698878,12.708333969116211,16.95833396911621,14.875,900.0,999.0,Temporal SD within one run; not cross-seed SD
