motion_name,method,joint_name,maximum_velocity_rad_s,maximum_acceleration_rad_s2,mean_jerk_rad_s3,maximum_jerk_rad_s3,joint_limit_violation_count,joint_limit_maximum_violation_rad
111_23,gmr,left_shoulder_pitch_joint,2.6322316787887803,25.196875976070206,102.15168827781129,523.3378406450911,0,0.0
111_23,gmr,left_shoulder_roll_joint,1.9697901865415681,43.41397747585773,159.51615078951386,1252.8451960784892,0,0.0
111_23,gmr,left_shoulder_yaw_joint,4.575248055913262,54.2562830073379,233.14507718682674,1130.7956491224613,0,0.0
111_23,gmr,left_elbow_joint,5.627365231621348,80.5105643566098,203.55302620832816,1254.7742691145133,0,0.0
111_23,gmr,left_wrist_roll_joint,9.067461878720923,184.76881446761865,450.0060367890638,4495.939498728836,0,0.0
111_23,gmr,left_wrist_pitch_joint,2.1541614802835323,31.115901742216682,110.83131059824801,831.0710400227897,0,0.0
111_23,gmr,left_wrist_yaw_joint,4.488907471552509,82.07626679394052,286.862025426578,2125.248506791955,0,0.0
111_23,gmr,right_shoulder_pitch_joint,4.211504566048896,40.46889871041357,114.72656820327094,649.8508046651949,0,0.0
111_23,gmr,right_shoulder_roll_joint,1.251329121835458,18.981210307049622,99.4397305035619,424.81032670783713,0,0.0
111_23,gmr,right_shoulder_yaw_joint,2.0364933109239827,29.62899814310116,146.55987883992148,626.3779388685863,0,0.0
111_23,gmr,right_elbow_joint,6.352893373853981,59.58629969019973,178.65557927919718,829.1524205337088,0,0.0
111_23,gmr,right_wrist_roll_joint,2.608556119370962,52.171909431882405,246.66524085739502,1035.81578233172,0,0.0
111_23,gmr,right_wrist_pitch_joint,1.1200434297313162,14.707180461822627,59.72928125843664,387.72791330298526,0,0.0
111_23,gmr,right_wrist_yaw_joint,4.4797388033698216,82.45883562282545,263.9003978159441,1831.7800731726638,0,0.0
113_20,direct_mapping,left_hip_pitch_joint,3.6539057294233004,29.30976563994821,92.47481698856707,526.3312572019302,0,0.0
113_20,direct_mapping,left_hip_roll_joint,1.2773077962632344,15.839555101006901,58.25872128919741,349.401461523023,0,0.0
113_20,direct_mapping,left_hip_yaw_joint,4.942312454502747,62.0673569858596,138.48484892657817,1218.6314100373463,0,0.0
113_20,direct_mapping,left_knee_joint,7.718518944545235,97.44571062598462,202.2047417092792,1334.2854546224871,0,0.0
113_20,direct_mapping,left_ankle_pitch_joint,6.116681605551786,123.12449429801316,230.69596708674675,1998.5986851220532,4,0.08918504466242749
113_20,direct_mapping,left_ankle_roll_joint,2.8573861613902882,52.33003304551394,149.8934065664081,989.4960392893007,21,0.13781403966075984
113_20,direct_mapping,right_hip_pitch_joint,3.6128516484217075,34.70278066812031,116.74003363827325,569.7748167752093,0,0.0
113_20,direct_mapping,right_hip_roll_joint,1.3317117971297243,14.64379421153163,56.56655048129157,284.70415586543646,0,0.0
113_20,direct_mapping,right_hip_yaw_joint,3.53356754970329,37.08785325708141,112.99733730912719,655.7005685705413,0,0.0
113_20,direct_mapping,right_knee_joint,7.786727291138945,78.60443123720165,178.02349583235252,1143.109297175299,0,0.0
113_20,direct_mapping,right_ankle_pitch_joint,7.234869864263744,133.89181672822164,273.25427873695753,2593.860047584839,22,0.2879304584645179
113_20,direct_mapping,right_ankle_roll_joint,2.0437674216270016,33.83471844053125,111.31657314058937,682.1808194827505,18,0.06153252503483242
113_20,direct_mapping,waist_yaw_joint,1.6752914061388133,19.25169697813015,61.80400823404405,375.8703908276314,0,0.0
113_20,direct_mapping,waist_roll_joint,0.9038389284367807,13.616716815348507,45.36476454288342,253.35445913190614,0,0.0
113_20,direct_mapping,waist_pitch_joint,1.6128222607423737,20.63597140378718,77.10524626719433,358.06691733034006,0,0.0
113_20,direct_mapping,left_shoulder_pitch_joint,1.2762523518183007,13.788770711192504,57.66425202527802,316.4236389546954,0,0.0
113_20,direct_mapping,left_shoulder_roll_joint,1.4618090308724594,15.281993468217541,52.43172568048826,253.48818829996634,0,0.0
113_20,direct_mapping,left_shoulder_yaw_joint,1.957763771153984,28.644304729599707,80.89931789429087,446.6677630418731,0,0.0
113_20,direct_mapping,left_elbow_joint,2.6018287630395647,35.876177519043665,109.19883415170764,660.936116367342,0,0.0
113_20,direct_mapping,left_wrist_roll_joint,4.012317293301176,73.50076196509501,169.39676836505538,1750.4259939080384,0,0.0
113_20,direct_mapping,left_wrist_pitch_joint,1.9595169584812517,44.138991611010375,106.9846396876782,753.8847016196403,0,0.0
113_20,direct_mapping,left_wrist_yaw_joint,2.527520661958994,66.20631628184455,145.49669037763888,1255.1145355233955,0,0.0
113_20,direct_mapping,right_shoulder_pitch_joint,1.924613752820556,17.33101288489126,66.65710089192403,283.0901259794755,0,0.0
113_20,direct_mapping,right_shoulder_roll_joint,1.2535276779046252,23.688590347121302,44.71665422787216,361.4139603323414,0,0.0
113_20,direct_mapping,right_shoulder_yaw_joint,1.6114833437774214,20.871098207705646,72.49558471396175,444.2703509855677,0,0.0
113_20,direct_mapping,right_elbow_joint,2.2713015479843706,30.866149367804038,96.57602577238477,527.9079131386891,0,0.0
113_20,direct_mapping,right_wrist_roll_joint,2.6164657235402786,51.310596492630424,150.27886456312376,1261.0444330913472,0,0.0
113_20,direct_mapping,right_wrist_pitch_joint,0.7547713912881419,12.119026579892449,44.00564840500345,312.3754135855053,0,0.0
113_20,direct_mapping,right_wrist_yaw_joint,1.8811824224712832,34.70212157410685,126.04543004893087,821.9459993169539,0,0.0
